simSeconds                                   0.003214                       # Number of seconds simulated (Second)
simTicks                                   3214309000                       # Number of ticks simulated (Tick)
finalTick                                  3214309000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     72.54                       # Real time elapsed on the host (Second)
hostTickRate                                 44308213                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    9101004                       # Number of bytes of host memory used (Byte)
simInsts                                     10000003                       # Number of instructions simulated (Count)
simOps                                       10000179                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   137846                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     137849                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                          6428625                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.642862                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.555543                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        10451130                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     1018                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       10728756                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   3349                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               451939                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             92682                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 378                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             6315334                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.698842                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.219043                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   3256572     51.57%     51.57% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    526569      8.34%     59.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    562966      8.91%     68.82% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    713747     11.30%     80.12% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    339118      5.37%     85.49% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    225243      3.57%     89.06% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    491387      7.78%     96.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     93851      1.49%     98.32% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    105881      1.68%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               6315334                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  350443     91.46%     91.46% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                    122      0.03%     91.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                     154      0.04%     91.54% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     91.54% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     91.54% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     91.54% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     91.54% # attempts to use FU when none available (Count)
